trail_id,park_id,trail_name,length,elevation_gain,route_type,latitude,longitude,gain_per_foot
10266148,183,Grand Canyon Rim Trail,8690.436,106.9848,out and back,36.05723,-112.14378,0.012310637
10094721,50,Rim-to-Rim: North Kaibab to Grand Canyon Village,34761.742,1614.8304,point to point,36.21692,-112.05678,0.046454243
10026816,183,Shoshone Point Trail,3379.614,45.72,out and back,36.03496,-112.06924,0.013528173
10235665,183,Plateau Point Trail via Bright Angel Trail,19633.947,961.9488,out and back,36.05681,-112.14201,0.04899416
10266521,183,South Kaibab Trail to Skeleton Point,8690.436,602.8944,out and back,36.05356,-112.08336,0.06937448
10016127,183,Grand Canyon West Rim Trail,20599.553,169.7736,point to point,36.05264,-112.08368,0.008241616
10034910,185,Bridal Wreath Falls Trail,9012.304,326.7456,out and back,32.23512,-110.68683,0.036255505
10337353,183,1.5 Mile Resthouse via Bright Angel Trail,4667.086,349.9104,out and back,36.05706,-112.14428,0.07497407
10013850,50,Bright Angel Point Trail,1448.406,43.8912,out and back,36.19703,-112.05258,0.030303106
10031380,185,Wasson Peak Trail,12713.786,567.8424,loop,32.24669,-111.16708,0.04466352
10462770,283,Madison River West Entrance Road,13035.654,26.8224,point to point,44.6614,-110.9622,0.0020576182
10304374,183,Indian Garden via Bright Angel Trail,13196.588,896.7216,out and back,36.05745,-112.14434,0.06795102
10236025,77,Blue Mesa Trail,1448.406,32.9184,loop,34.93947,-109.75639,0.02272733
10013966,185,King Canyon Trail to Wasson Peak,11426.314,560.832,out and back,32.24717,-111.16717,0.04908249
10004120,183,Grandview Trail Loop,18668.344,1188.72,loop,35.99805,-111.98775,0.06367571
10006500,183,Hermit Trail,24783.836,1567.8912,out and back,36.06193,-112.21112,0.06326266
10259347,183,Grandview Point to Horseshoe Mesa Trail,8851.37,726.948,out and back,35.99809,-111.98778,0.0821283
10041313,50,North Kaibab Trail to Roaring Springs,13518.456,1071.9816,out and back,36.21687,-112.05678,0.07929763
10244240,185,Wasson Peak via Sweetwater Trail,14966.862,637.9464,out and back,32.28866,-111.12114,0.042623926
10111405,185,Douglas Spring Trail,26715.045,1139.952,out and back,32.23518,-110.68682,0.04267079
10265266,253,Eldorado Creek Trail,13679.39,397.764,out and back,63.52668,-150.9689,0.029077614
10286650,183,South Kaibab Trail to Phantom Ranch,21565.156,1496.8728,out and back,36.05298,-112.0839,0.069411635
10031336,183,Widforss Trail,14644.994,315.7728,out and back,36.22375,-112.06506,0.021561824
10031337,50,Transept Trail,4667.086,85.9536,out and back,36.19695,-112.05287,0.018416973
10304469,183,Yavapai Point via Rim Trail,2574.944,24.9936,out and back,36.06045,-112.10861,0.009706464
10273263,183,Bright Angel Trail: South Rim to Phantom Ranch,28968.12,1518.8184,out and back,36.05742,-112.14421,0.052430686
10000811,50,Cape Royal Trail,1609.34,19.812,out and back,36.12234,-111.94949,0.012310637
10009957,50,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,31060.262,1666.9512,point to point,36.21689,-112.05678,0.05366829
10006953,185,Tanque Verde Ridge Trail,32186.8,1705.9656,out and back,32.16559,-110.7238,0.053002022
10297089,183,Rim to Rim Trail Segment: Indian Garden to Colorado River,9656.04,429.768,out and back,36.07836,-112.12709,0.044507686
10040243,50,North Kaibab Trail to Colorado River,45061.52,2092.7568,out and back,36.21704,-112.05675,0.046442218
10026822,50,Cape Final,6437.36,150.876,out and back,36.14579,-111.9355,0.02343756
10242023,185,Mica View Loop Trail,5954.558,36.8808,loop,32.2207,-110.72608,0.0061937086
10255289,50,Phantom Ranch to Ribbon Falls via North Kaibab Trail,19151.146,592.836,out and back,36.10656,-112.09423,0.03095564
10004435,185,Hugh Norris Trail,14323.126,729.996,out and back,32.27146,-111.20301,0.050966248
10258667,50,North Kaibab Trail to Supai Tunnel and Coconino Overlook,5954.558,425.8056,out and back,36.21724,-112.05655,0.07150918
10236026,203,Crystal Forest Trail,1448.406,10.9728,loop,34.86326,-109.79239,0.0075757764
10258648,183,Hermit's Rest Viewpoint  to Santa Maria Spring,5471.756,528.828,out and back,36.06065,-112.21219,0.09664685
10257085,183,South Kaibab to North Kaibab to Bright Angel Trail,65822.01,3578.9617,point to point,36.05299,-112.08351,0.054373328
10236022,162,Painted Desert Rim Trail,1770.274,11.8872,out and back,35.08033,-109.78349,0.0067148926
10018269,162,Petrified Forest Scenic Drive,46027.125,297.7896,point to point,35.06032,-109.78196,0.0064698723
10265749,183,Bright Angel Trail to Phantom Overlook to South Kaibab Trail,27841.582,1748.9424,point to point,36.0575,-112.14411,0.06281763
10315767,183,South Kaibab Trail to Tip Off,14484.06,1004.9256,out and back,36.05348,-112.08359,0.06938149
10023828,80,Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,88513.7,1601.724,point to point,35.85497,-111.42506,0.018095775
10112001,185,Safford Peak Trail,3862.416,278.892,out and back,32.35403,-111.14143,0.07220662
10042232,183,Thunder Creek to Deer Creek and Thunder Falls,46670.86,2213.7625,loop,36.4347,-112.42932,0.047433507
10365390,50,Rim to Rim: North to South and Ribbon Falls,49889.54,1995.8304,point to point,36.21704,-112.05675,0.040004987
10267208,185,Gould Mine,3701.482,115.824,loop,32.24761,-111.16714,0.03129125
10293249,185,"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop",11426.314,381.9144,loop,32.2351,-110.68694,0.03342411
10258317,183,Grand Canyon Rim Village to Hermit's Rest,24622.902,424.8912,out and back,36.05711,-112.14443,0.017255936
10002324,183,Desert View Visitor Center Trail,643.736,10.9728,loop,36.04123,-111.82692,0.017045496
10032774,185,Garwood Trail,5310.822,61.8744,out and back,32.23517,-110.68678,0.011650627
10274527,50,Coconino Overlook,2092.142,141.732,out and back,36.21714,-112.05658,0.06774492
10009628,50,Uncle Jim Trail,7563.898,222.8088,loop,36.21729,-112.05643,0.029456876
10009444,183,Dripping Springs via Dripping Springs and Hermit Trail,10138.842,796.7472,out and back,36.06043,-112.2125,0.07858365
10251377,77,Giant Logs Trail,965.604,10.9728,loop,34.81544,-109.86552,0.011363665
10042018,162,Onyx Bridge Trail,7402.964,134.7216,loop,35.0837,-109.78904,0.018198334
10331092,50,North Kaibab Trail to Redwall Bridge,11104.446,801.9288,out and back,36.21699,-112.05666,0.072216906
10002217,185,Valley View Overlook Trail,1287.472,14.9352,out and back,32.27698,-111.1977,0.011600407
10041071,185,Cactus Forest Loop Drive,16576.201,213.9696,loop,32.18,-110.73622,0.012908242
10236028,77,Long Logs and Agate House Loop Trail,3379.614,24.9936,loop,34.81468,-109.86184,0.007395401
10259343,183,Tanner Trail,21404.223,1611.7823,out and back,36.03276,-111.85322,0.07530207
10306310,98,Loma Verde and Squeeze Pen Loop,5954.558,47.8536,loop,32.20343,-110.70985,0.008036465
10039522,185,Hope Camp,10460.71,160.9344,out and back,32.13315,-110.68711,0.015384654
10304719,183,"South Kaibab, Tonto and Bright Angel Trail",19955.816,1034.796,point to point,36.05271,-112.08398,0.051854357
10111504,185,Garwood Dam To Douglas Spring Loop Trail,10460.71,345.948,loop,32.23514,-110.68692,0.03307118
10246734,183,South to North Kaibab Trail,31060.262,1966.8744,point to point,36.05355,-112.08342,0.06332447
10281018,98,Tanque Verde Ridge,5310.822,281.94,out and back,32.16556,-110.7239,0.05308783
10038311,185,Freeman Homestead Nature Trail,1770.274,32.9184,loop,32.16531,-110.72587,0.018595086
10258602,50,Point Imperial,160.934,6.7056,out and back,36.27911,-111.97786,0.04166677
10011949,185,Sendero Esperanza Trail,8046.7,316.992,out and back,32.28482,-111.16747,0.039394036
10298010,185,Douglas Spring to Three Tank Trail Junction,7242.03,295.9608,out and back,32.23516,-110.68657,0.040867105
10302747,183,West Rim Trail: Hermits Rest to Powell Point,19312.08,231.9528,out and back,36.06248,-112.21036,0.0120107625
10259900,185,Saguaro National Park West and Old Tucson Studios Scenic Drive,63086.13,657.7584,loop,32.23601,-110.98402,0.0104263555
10235597,50,Roosevelt Point Trail,482.802,0.9144,loop,36.21822,-111.95239,0.0018939441
10311930,185,Petroglyphs at King Canyon,3540.548,88.6968,out and back,32.24719,-111.16714,0.025051715
10013382,183,South Bass Trail,19633.947,1330.7568,out and back,36.18375,-112.37666,0.067778364
10236023,162,Puerco Pueblo Trail,482.802,2.7432,loop,34.97612,-109.79399,0.0056818323
10111280,185,Cactus Forest Trail,16093.4,155.7528,out and back,32.22032,-110.7254,0.009678055
10258739,183,The Escalante Route Trail,56005.03,2881.884,out and back,36.03302,-111.85214,0.05145759
10023951,50,Nankoweap Trail,49406.74,2568.8545,out and back,36.27949,-111.97881,0.05199401
10270136,4,Devil's Playground Loop,12070.05,144.78,loop,35.0168,-109.88437,0.011994979
10287374,185,"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",5310.822,23.7744,loop,32.22086,-110.72615,0.0044765957
10272964,183,Hermit Trail to Dripping Springs,8529.502,610.8192,out and back,36.06024,-112.21229,0.07161253
10035690,185,Ridge View Trail,3701.482,106.9848,out and back,32.1332,-110.68715,0.028903235
10258650,50,Cliff Springs Trail,1770.274,93.8784,out and back,36.12463,-111.94782,0.053030435
10258659,50,Walhalla Overlook,160.934,0,out and back,36.1319,-111.94221,0
10258654,50,Widforss Trail - Short Option,6920.162,179.832,out and back,36.22388,-112.06533,0.025986675
10315676,185,Mica View Trail to Cactus Forest Trail,3057.746,20.7264,loop,32.22093,-110.72615,0.0067783264
10259353,183,Clear Creek Trail,49245.805,2673.7056,out and back,36.05353,-112.08346,0.054293063
10039514,185,Desert Ecology Trail,482.802,2.7432,loop,32.20326,-110.7253,0.0056818323
10013558,183,New Hance Trail,20921.42,1506.9312,out and back,36.0046,-111.92426,0.07202815
10013912,183,Bright Angel Trail to Tonto Trail,116838.086,3102.864,out and back,36.05701,-112.14437,0.026556958
10272375,203,Old Jasper Forest Road,4184.284,53.9496,loop,34.88855,-109.80716,0.012893388
10269962,185,Wildhorse Trail,4988.954,91.7448,out and back,32.23512,-110.68697,0.018389584
10259355,183,Hermit's Rest Viewpoint to Tonto Trail to Bright Angel Trailhead,34118.008,1593.7992,point to point,36.06109,-112.21163,0.04671431
10014989,289,Kaupo Trail,63359.844,5482,out and back,20.64981,-156.137,0.08652168
10013747,185,Desert Discovery Nature Trail,643.736,4.8768,loop,32.26248,-111.21043,0.0075757764
10259354,183,Boucher Trail to Hermit Trail Loop,32508.668,1758.696,loop,36.06059,-112.21213,0.054099295
10112153,185,Thunderbird Trail,6437.36,149.9616,out and back,32.28871,-111.12111,0.023295512
10389448,183,"Rim Trail, South Kaibab and Bright Angel Loop",34118.008,1501.7496,loop,36.06,-112.10668,0.044016335
10016910,183,Mather Campground Trail,3701.482,36.8808,loop,36.04858,-112.11664,0.009963793
10267209,185,Cactus Wren Trail,6276.426,56.9976,loop,32.29079,-111.20831,0.009081219
10259344,183,Tonto Trail: New Hance Trail to Grandview Point,25105.703,1569.72,point to point,35.98342,-111.94004,0.06252444
10266285,183,South to North Kalbab Trail,49728.605,3386.9375,point to point,36.05288,-112.0836,0.06810843
10297375,162,Painted Desert Rim Trail to Kachina Point,1770.274,12.8016,out and back,35.08032,-109.78355,0.007231423
10013255,183,Tusayan Ruin Trail,482.802,4.8768,loop,36.01319,-111.86646,0.010101035
10269670,129,"Scenic, Passey, Packrat Trail Loop",2735.878,80.772,loop,32.35253,-111.13994,0.029523248
10384519,50,Ribbon Falls from the North Rim via North Kaibob Trail,27036.912,1639.824,out and back,36.21704,-112.05675,0.060651302
10263759,185,Mica Mountain via Douglas Spring and Cow Head Saddle Trail,40877.234,1961.9976,out and back,32.23516,-110.68657,0.04799732
10021291,103,Redington OHV Trail,39267.895,750.7224,point to point,32.45169,-110.48754,0.01911797
10017278,183,Boucher Trail,28485.318,1714.8048,out and back,36.06032,-112.21239,0.0601996
10268598,98,Hope Camp Coyote Wash and Ruiz Trail Loop,9334.172,142.9512,loop,32.13299,-110.68709,0.015314824
10235600,50,Ken Patrick Trail North from Point Imperial,7885.766,143.8656,out and back,36.27926,-111.97905,0.018243706
10398395,98,Tanque Verde Falls Beach,1287.472,29.8704,out and back,32.25798,-110.65552,0.023200814
10235592,50,Grand Canyon Bridle Trail,5149.888,77.724,out and back,36.19815,-112.05291,0.015092366
10306312,185,Shantz and Mica View Trail,4184.284,36.8808,loop,32.22061,-110.72642,0.008814123
10259348,183,Tonto Trail from Grandview Point to South Kaibab Trailhead,43774.047,1589.8368,point to point,35.99763,-111.98763,0.036319163
10347292,50,Phantom Ranch to Phantom Overlook,3379.614,205.74,out and back,36.10485,-112.09488,0.060876776
10258670,183,Monument Point via Bill Hall Trail,2414.01,103.9368,out and back,36.43466,-112.42976,0.04305566
10272332,203,Martha's Butte,4345.218,22.86,out and back,34.84845,-109.8015,0.0052609565
10041333,185,Coyote Pass Loop Trail,9173.238,159.7152,loop,32.32734,-111.1306,0.017410994
10004062,183,Waldron Trail,7885.766,703.7832,out and back,36.06033,-112.21238,0.08924729
10018933,110,Lava Falls Trail,4184.284,762.9144,out and back,36.21165,-113.08357,0.18232854
10037999,150,Turkey Creek,19473.014,1199.9976,out and back,32.15777,-110.47549,0.061623618
10299272,185,Cactus Canyon and Gila Monster Loop via Thunderbird Trail,9656.04,223.7232,loop,32.28874,-111.12124,0.02316925
10111891,185,Panther Peak Wash - Roadrunner Loop,6759.228,57.912,loop,32.31925,-111.16599,0.008567842
10039029,150,Manning Camp Trail,24783.836,1391.7168,out and back,32.15782,-110.47572,0.056154214
10268789,183,Palisades Creek Trail,36371.086,1998.8784,out and back,36.033,-111.85214,0.054957896
10263672,183,Tanner Trail to Grandview Trail and Grandview Point,50855.145,2435.9617,point to point,36.03297,-111.85331,0.047900006
10272356,203,Martha's Butte Off-Trail Route,3057.746,17.9832,out and back,34.83962,-109.80823,0.0058811945
10311730,185,Vertical Cliffs Trail to Abington Trail Loop,6115.492,76.8096,loop,32.32319,-111.0963,0.0125598395
10028602,185,Bajada Loop Drive,8368.568,129.8448,loop,32.26904,-111.21633,0.015515773
10272764,98,"Hope Campe, Ruiz Trail, and Coyote Wash Trail",9012.304,139.9032,loop,32.1333,-110.68715,0.015523578
10307988,185,Wild Horse to Garwood Dam,6276.426,100.8888,out and back,32.23504,-110.68704,0.016074244
10379267,183,Hermit Trail to Granite Rapids Campground,35244.547,1748.9424,out and back,36.06077,-112.21244,0.049623065
10272205,183,Tanner Beach and Lava Rapids Trail,31864.932,1724.8632,out and back,36.03309,-111.85206,0.054130454
10028565,50,Ken Patrick Trail South from Point Imperial,15610.598,376.7328,point to point,36.27899,-111.97827,0.024133144
10313180,185,"Shantz, Mesquite, Loma and Cholla Trail Loop",8207.634,57.912,loop,32.2208,-110.72646,0.0070558703
10265889,183,"South Kaibab, North Kaibab and Bright Angel Trail",57614.37,2731.9224,point to point,36.05347,-112.08347,0.047417376
10236034,98,Cow Head Saddle Trail,41842.84,2309.7744,out and back,32.16541,-110.72396,0.055201188
10347968,183,Hermit Camp to Monument Creek Camp via Tonto Trail,10138.842,370.9416,out and back,36.08161,-112.21296,0.03658619
10258658,50,Walhalla Ruins,160.934,0,out and back,36.13336,-111.94147,0
10022546,50,Deer Creek to Colorado River,29450.922,1792.8336,out and back,36.43467,-112.43005,0.060875297
10267224,129,Ironwood Forest Picture Rocks Wash Trail,6276.426,83.82,loop,32.32733,-111.13058,0.0133547345
10006893,183,Blue Springs Trail,27358.78,721.7664,out and back,36.04021,-111.82769,0.026381528
10009407,50,North Bass Trail,35888.28,2166.8232,out and back,36.33558,-112.34993,0.0603769
10259364,50,South Canyon,17380.871,991.8192,out and back,36.47407,-111.92809,0.057063837
10014422,183,Arizona Trail #36,27036.912,186.8424,point to point,35.95748,-111.95498,0.0069106417
10269033,183,South Bass to Hermits Rest via Tonto West,66465.74,2931.871,point to point,36.18378,-112.37658,0.04411101
10348524,185,Encinas Trail from Ez-Kim-In-Zin Picnic Area,11748.182,203.9112,out and back,32.28555,-111.16965,0.01735683
10268788,183,Tanner and Beamer Trail,49567.67,2311.908,out and back,36.03308,-111.85206,0.046641447
10259359,50,Powell Plateau Trail,8046.7,541.9344,out and back,36.33552,-112.34981,0.06734865
10272462,77,First Forest Point,7081.096,87.7824,out and back,34.88782,-109.80781,0.012396725
10261755,185,Valley View and Wild Dog Trails,4345.218,75.8952,loop,32.27707,-111.19774,0.017466376
10394939,185,"Shantz, Vanover, Loma Verde, Cholla, Cactus Forest Trail Loop",8207.634,37.7952,loop,32.22095,-110.726,0.004604884
10007969,50,Tiyo Point Trail,32669.602,503.8344,out and back,36.22079,-112.06151,0.015422117
10366335,185,"Hugh Norris, Sendero Esperanza, Dobbie Wash Loop",10299.776,377.952,loop,32.27153,-111.20297,0.036695164
10453902,98,Hope Camp to Grass Shack Camp Trail,15449.664,839.724,point to point,32.13303,-110.68704,0.05435225
10286475,183,AZ Trail Segment 37,35888.28,304.8,point to point,35.95748,-111.9554,0.008493023
10314641,60,Schmutz Spring,8851.37,560.832,out and back,36.34069,-112.92579,0.063361034
10421252,183,Horseshoe Mesa Loop via Grand View Trail,19633.947,1180.7952,loop,35.99855,-111.98737,0.060140487
10483525,98,Arizona Trail: Savilla Campground to Saguaro National Park,13196.588,109.728,point to point,32.06403,-110.62252,0.008314877
10427265,60,Thunder River Trail from Indian Hollow Parking Area,46188.06,1982.724,out and back,36.45894,-112.48824,0.042927198
10258671,50,North Bass Trail to Muav Cabin,2414.01,226.7712,out and back,36.33556,-112.34986,0.093939625
10456484,185,"Douglas Spring, Converse, Garwood  and Wildhorse Loop",5471.756,55.7784,loop,32.23514,-110.68698,0.010193876
10545419,98,Redington Pass Chiva Falls OHV Loop,32830.535,941.832,loop,32.30612,-110.57414,0.028687682
10041922,122,Sunset Trail,20921.42,722.9856,loop,34.5256,-93.03637,0.034557194
10235890,122,West Mountain Trail,3057.746,107.8992,loop,34.51279,-93.05836,0.035287168
10264755,122,Goat Rock Trail,3862.416,115.824,out and back,34.52802,-93.03995,0.029987447
10264753,122,Gulpha Gorge Trail,1931.208,116.7384,out and back,34.52556,-93.03645,0.060448386
10039426,122,The Grand Promenade and Side Trails,1931.208,33.8328,loop,34.51165,-93.05319,0.017518984
10007938,122,Dead Chief Trail,4345.218,121.92,out and back,34.51359,-93.05238,0.028058432
10267800,122,Hot Springs Mountain Trail,5310.822,204.8256,loop,34.52598,-93.03645,0.03856759
10017178,122,Peak Trail,2092.142,108.8136,out and back,34.51334,-93.05276,0.052010614
10235889,122,Sugarloaf Mountain Via Sunset Trail,11426.314,592.836,out and back,34.50846,-93.06853,0.051883396
10354929,122,Goat Rock via Dead Chief Trail,2092.142,87.7824,out and back,34.52559,-93.03619,0.041958146
10264248,122,Grand Promenade,1126.538,20.7264,out and back,34.51656,-93.05239,0.018398315
10291742,122,Hot Springs Sunset Trail Full Circle,20599.553,680.9232,loop,34.5117,-93.05353,0.033055242
10307591,122,Sunset Trail: Sugarloaf Mountain Section,4667.086,183.7944,point to point,34.51403,-93.09383,0.039380975
10308425,122,Upper Dogwood Trail,2253.076,68.8848,loop,34.52373,-93.0417,0.030573672
10367719,122,Mountaintop Loop,2092.142,112.776,loop,34.51813,-93.05016,0.05390456
10014347,276,Cave Spring Trail,965.604,11.8872,loop,38.15722,-109.75154,0.012310637
10308451,122,Lower Dogwood Trail,2574.944,123.7488,loop,34.52375,-93.04166,0.04805883
10026910,23,Vernal and Nevada Falls via the Mist Trail,10299.776,667.8168,loop,37.73495,-119.56619,0.064837985
10005895,23,Upper Yosemite Falls Trail,11587.248,967.74,out and back,37.74237,-119.60223,0.08351767
10005585,23,Half Dome Trail,23818.232,1573.9872,out and back,37.73465,-119.56583,0.06608329
10026952,123,Moro Rock Trail,643.736,56.9976,out and back,36.54685,-118.76565,0.08854189
10011926,23,Lower Yosemite Falls Trail,1609.34,15.8496,loop,37.74587,-119.59266,0.009848509
10027503,23,Clouds Rest Trail via Tenaya Lake,19794.883,948.8424,out and back,37.82585,-119.47046,0.04793372
10010560,23,Four Mile Trail,12070.05,998.8296,out and back,37.73388,-119.60185,0.082752734
10031426,23,Sentinel Dome Trail,3379.614,138.9888,out and back,37.71243,-119.58632,0.041125644
10333504,276,Newspaper Rock Trail,52.8,0,out and back,37.98819,-109.51825,0
10033113,23,Glacier Point Trail,965.604,71.9328,out and back,37.72765,-119.57432,0.07449514
10276593,23,Vernal Falls,5954.558,406.908,out and back,37.73257,-119.55916,0.06833555
10011170,265,Ryan Mountain Trail,4828.02,325.8312,out and back,34.00264,-116.13594,0.067487545
10235913,23,Mirror Lake via Valley Loop Trail,9012.304,101.8032,loop,37.73889,-119.56914,0.011296025
10026962,21,Tokopah Falls via Tokopah Valley Trail,6437.36,194.7672,out and back,36.60485,-118.72401,0.030255757
10028848,252,Lassen Peak,8207.634,599.8464,out and back,40.47458,-121.5057,0.07308396
10031466,38,Mist Falls Trail,13035.654,270.9672,out and back,36.79495,-118.58315,0.02078662
10006090,123,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",18990.213,887.8824,out and back,36.59655,-118.73438,0.046754736
10031888,265,Barker Dam Nature Trail,2896.812,19.812,out and back,34.02511,-116.14173,0.0068392428
10235992,123,General Sherman Tree Trail,1287.472,46.9392,out and back,36.58498,-118.74978,0.036458425
10235907,23,Bridalveil Fall Trail,804.67,24.9936,out and back,37.71658,-119.65118,0.031060684
10027546,123,Marble Falls Trail,11909.116,495.9096,out and back,36.51464,-118.80085,0.041641176
10035554,265,Hidden Valley Nature Trail,1609.34,34.7472,loop,34.01234,-116.16807,0.021590963
10028653,23,Taft Point and The Fissures,3701.482,113.9952,out and back,37.71241,-119.58631,0.030797178
10033156,76,Rae Lakes Trail,66626.68,2390.8513,loop,36.79468,-118.58289,0.035884295
10031456,123,Congress Trail,5149.888,151.7904,loop,36.58448,-118.74988,0.029474504
10002863,23,Cathedral Lakes Trail,13840.324,472.7448,out and back,37.87338,-119.38261,0.034157064
10003872,128,Lost Palms Oasis,11587.248,312.7248,out and back,33.73685,-115.81058,0.026988702
10010871,23,Vernal and Nevada Falls via the Panorama Trail,14484.06,297.7896,point to point,37.72731,-119.57471,0.020559818
10013977,206,Condor Gulch Trail to High Peaks Trail Loop,8690.436,484.9368,loop,36.48145,-121.18174,0.05580121
10019827,265,Arch Rock Nature Trail,1126.538,7.9248,out and back,33.98414,-116.01655,0.0070346496
10235908,23,Columbia Rock Trail,2092.142,288.9504,out and back,37.74208,-119.60195,0.13811223
10037289,23,Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,16737.137,636.7272,out and back,37.80649,-119.54523,0.038042776
10034036,265,Fortynine Palms Oasis Trail,4506.152,188.976,out and back,34.11922,-116.11198,0.041937336
10004781,23,John Muir Trail via Yosemite Valley,326856.97,14029.944,point to point,37.73476,-119.56629,0.042923804
10031887,265,Lost Horse Mine Loop Trail,11104.446,277.9776,loop,33.95082,-116.15985,0.025032999
10012390,23,Mariposa Grove of Giant Sequoias Trail,9012.304,367.8936,loop,37.50221,-119.61064,0.040821258
10039529,174,Oxbow Bend Overlook,52.8,0,out and back,43.86616,-110.54766,0
10007409,242,Nāulu Trail,33263.918,1062,out and back,19.31753,-155.16243,0.031926487
10371837,225,Little Bridge Canyon Trail,9656.04,568.7568,out and back,36.60106,-117.09666,0.05890166
10235922,23,Chilnualna Falls Trail,12713.786,666.9024,out and back,37.54839,-119.634,0.05245506
10006688,225,Badwater Basin Salt Flats Trail,2896.812,2.7432,out and back,36.23035,-116.7668,0.00094697205
10293225,23,Sentinel Dome and Taft Point Loop,8207.634,341.9856,loop,37.71247,-119.58638,0.041666772
10298575,23,Nevada Falls,8690.436,669.9504,out and back,37.73251,-119.55906,0.07709054
10274952,57,Tall Trees Grove Loop Trail,5310.822,227.9904,loop,41.20785,-123.99318,0.042929403
10023775,265,Skull Rock Nature Trail,2735.878,48.768,loop,33.99797,-116.05998,0.017825358
