"trail_id","trail_name","park_name","latitude","longitude","length","elevation_gain","difficulty_rating","popularity","top"
10032304,"Hurricane Hill via Hurricane Ridge","Olympic National Park",47.97651,-123.5178,4988.954,242.9256,3,42.0778,1
10241534,"Iceberg Lake Trail","Glacier National Park",48.79961,-113.67921,14966.862,441.96,3,41.1262,1
10243771,"Laurel Falls Trail","Great Smoky Mountains National Park",35.6719,-83.58062,3862.416,120.7008,1,39.9339,1
10000719,"Cascade Canyon Trail","Grand Teton National Park",43.7672,-110.74426,15610.598,343.8144,3,39.53,1
10238357,"Bear Lake Nature Trail","Rocky Mountain National Park",40.31191,-105.64577,1126.538,12.8016,1,39.0729,1
10235698,"Twin Sisters Peak Trail","Rocky Mountain National Park",40.30648,-105.53711,12070.05,766.8768,5,38.7945,1
10035513,"Ouzel Falls via Wild Basin Trail from Sandbeach Lake","Rocky Mountain National Park",40.21337,-105.55047,11909.116,361.7976,3,38.7433,1
10027503,"Clouds Rest Trail via Tenaya Lake","Yosemite National Park",37.82585,-119.47046,19794.883,948.8424,5,38.5795,1
10018951,"Fairyland Loop Trail","Bryce Canyon National Park",37.64927,-112.14717,11909.116,469.6968,3,38.4225,1
10233267,"Abrams Falls Trail","Great Smoky Mountains National Park",35.59095,-83.85201,7885.766,191.7192,3,38.2789,1
10010560,"Four Mile Trail","Yosemite National Park",37.73388,-119.60185,12070.05,998.8296,7,38.2519,1
10033597,"Clingmans Dome Observation Tower Trail","Great Smoky Mountains National Park",35.55689,-83.4961,1931.208,100.8888,1,38.1531,1
10010318,"Deer Mountain Trail","Rocky Mountain National Park",40.3868,-105.60978,9012.304,426.72,3,37.8313,1
10031426,"Sentinel Dome Trail","Yosemite National Park",37.71243,-119.58632,3379.614,138.9888,1,37.5768,1
10187810,"Bright Angel Trail to Bright Angel Campground and River Trail","Grand Canyon National Park",36.05735,-112.14381,28485.318,1525.8289,5,37.4791,1
10012660,"The Watchman Trail","Zion National Park",37.2009,-112.9858,4988.954,196.9008,3,37.4735,1
10033113,"Glacier Point Trail","Yosemite National Park",37.72765,-119.57432,965.604,71.9328,1,37.4664,1
10000669,"Hidden Lake Trail","Glacier National Park",48.69563,-113.71716,8529.502,418.7952,3,37.2892,1
10276593,"Vernal Falls","Yosemite National Park",37.73257,-119.55916,5954.558,406.908,3,37.2129,1
10011170,"Ryan Mountain Trail","Joshua Tree National Park",34.00264,-116.13594,4828.02,325.8312,3,37.0218,1
10001445,"Double Arch Trail","Arches National Park",38.68831,-109.53835,804.67,9.7536,1,36.8536,1
10111322,"Charlies Bunion via Appalachian Trail","Great Smoky Mountains National Park",35.61098,-83.42475,13840.324,603.8088,3,36.7769,1
10004378,"Mount Storm King","Olympic National Park",48.05809,-123.78918,6276.426,638.8608,5,36.5259,1
10016964,"South Kaibab Trail to Cedar Ridge","Grand Canyon National Park",36.05346,-112.08361,4988.954,358.7496,3,36.2709,1
10032796,"Mesa Arch Trail","Canyonlands National Park",38.38925,-109.86797,965.604,18.8976,1,36.2363,1
10235918,"Peekaboo Loop Trail","Bryce Canyon National Park",37.60483,-112.1575,8368.568,442.8744,3,35.875,1
10040223,"The Subway Trail","Zion National Park",37.2847,-113.09581,11265.38,397.764,5,35.6908,1
10016424,"Sol Duc Falls Nature Trail","Olympic National Park",47.95482,-123.83476,2574.944,77.724,1,35.5599,1
10241253,"Highline Trail - Logan Pass to Granite Park Chalet","Glacier National Park",48.69603,-113.71782,23979.166,785.7744,5,35.4711,1
10112236,"White Oak Canyon and Cedar Run Trails Loop","Shenandoah National Park",38.53906,-78.34808,14484.06,722.9856,5,35.1737,1
10006042,"Cadillac North Ridge Trail","Acadia National Park",44.37854,-68.22954,6437.36,340.7664,3,34.8209,1
10035982,"Hoh Rain Forest Hall of Moss","Olympic National Park",47.86023,-123.9345,1609.34,23.7744,1,34.6194,1
10014578,"Marymere Falls Trail","Olympic National Park",48.05808,-123.78914,2735.878,90.8304,1,34.5807,1
10041185,"Lake Haiyaha","Rocky Mountain National Park",40.3119,-105.64607,5793.624,257.8608,3,34.4488,1
10235913,"Mirror Lake via Valley Loop Trail","Yosemite National Park",37.73889,-119.56914,9012.304,101.8032,1,34.1675,1
10112225,"Weeping Rock Trail","Zion National Park",37.27096,-112.93868,482.802,23.7744,1,34.0526,1
10264003,"Zion Narrows Trail to Imlay Temple and Big Spring","Zion National Park",37.28529,-112.94771,13840.324,1268.8824,5,33.9931,1
10004045,"Comet and Christine Falls","Mount Rainier National Park",46.77868,-121.7839,6920.162,610.8192,3,33.916,1
10235870,"Jenny Lake Trail","Grand Teton National Park",43.75094,-110.72384,12391.918,221.8944,3,33.823,1
10031203,"Mills Lake, Black Lake, Frozen Lake Trail","Rocky Mountain National Park",40.31051,-105.6403,17702.74,770.8392,5,33.4693,1
10005997,"Pipiwai Trail and Waimoku Falls","Haleakala National Park",20.66233,-156.04445,17951.955,820,3,33.3147,1
10218246,"Lower Emerald Pool Trail","Zion National Park",37.25093,-112.95726,2092.142,34.7472,1,33.2792,1
10237812,"Three-Mile Resthouse via Bright Angel Trail","Grand Canyon National Park",36.05701,-112.14414,8690.436,635.8128,5,33.256,1
10011474,"Emerald Pools Trail","Zion National Park",37.25214,-112.95615,4667.086,184.7088,1,33.0107,1
10111290,"Camp Muir Route Via Skyline Trail","Mount Rainier National Park",46.78616,-121.73599,13518.456,1403.9088,7,32.9757,1
10043053,"Fern Lake Trail","Rocky Mountain National Park",40.35486,-105.63112,11426.314,442.8744,3,32.9579,1
10026962,"Tokopah Falls via Tokopah Valley Trail","Sequoia National Park",36.60485,-118.72401,6437.36,194.7672,3,32.7913,1
10007877,"Burroughs Mountain Loop Trail","Mount Rainier National Park",46.9142,-121.64181,15127.796,780.8976,3,32.6879,1
10028848,"Lassen Peak","Lassen Volcanic National Park",40.47458,-121.5057,8207.634,599.8464,5,32.6439,1
10249728,"Bridal Veil Falls via Cow Creek Trail","Rocky Mountain National Park",40.43087,-105.50054,9816.974,293.8272,3,32.0935,1
10009973,"Navajo Loop Trail","Bryce Canyon National Park",37.62339,-112.16718,2253.076,139.9032,3,32.0861,1
10003564,"Naches Peak Loop Trail","Mount Rainier National Park",46.86978,-121.51945,5310.822,193.8528,1,31.759,1
10008944,"Taggart Lake Loop","Grand Teton National Park",43.69309,-110.73286,6598.294,130.7592,1,31.7082,1
10112141,"The Keyhole and Longs Peak via Longs Peak Trail","Rocky Mountain National Park",40.27212,-105.55682,11909.116,1496.8728,5,31.6959,1
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ","Grand Canyon National Park",36.05344,-112.08364,26875.979,1400.8608,5,31.6323,1
10031466,"Mist Falls Trail","Kings Canyon National Park",36.79495,-118.58315,13035.654,270.9672,3,31.6191,1
10002866,"Ramsey Cascades Trail","Great Smoky Mountains National Park",35.70272,-83.35747,13035.654,677.8752,5,31.48,1
10026864,"Mystic Falls, Fairy Creek and Little Firehole Loop","Yellowstone National Park",44.48515,-110.85207,5632.69,184.7088,3,31.393,1
10006090,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails","Sequoia National Park",36.59655,-118.73438,18990.213,887.8824,5,31.3838,1
10028187,"Guadalupe Peak Texas Highpoint Trail","Guadalupe Mountains National Park",31.89666,-104.82815,13035.654,873.8616,5,31.1233,1
10241910,"Jordan Pond Full Loop Trail","Acadia National Park",44.322,-68.25437,5471.756,28.956,3,31.0667,1
10028391,"Bierstadt Lake Loop Trail","Rocky Mountain National Park",40.32048,-105.62367,5149.888,190.8048,3,31.0555,1
10013895,"Spray Park Trail to Mount Pleasant","Mount Rainier National Park",46.93268,-121.8634,11104.446,635.8128,3,30.8714,1
10000324,"Dark Hollow Falls Trail","Shenandoah National Park",38.51971,-78.43083,2253.076,171.9072,3,30.6744,1
10259284,"Peregrine Peak via Alum Cave Bluffs Trail","Great Smoky Mountains National Park",35.62874,-83.45078,6759.228,322.7832,3,30.6655,1
10000482,"Garfield Peak Trail","Crater Lake National Park",42.91,-122.14199,5471.756,325.8312,3,30.6183,1
10272207,"Delta Lake via Amphitheater Lake Trail","Grand Teton National Park",43.73484,-110.74153,14484.06,709.8792,5,30.4936,1
10260660,"Ocean Path and Gorham Mountain Loop Trail","Acadia National Park",44.32998,-68.18404,4988.954,181.9656,3,30.4711,1
10031888,"Barker Dam Nature Trail","Joshua Tree National Park",34.02511,-116.14173,2896.812,19.812,1,30.1796,1
10027388,"St. Mary and Virginia Falls Trail","Glacier National Park",48.67435,-113.60868,4667.086,137.7696,1,30.1548,1
10030936,"Bearfence Mountain Trail","Shenandoah National Park",38.45239,-78.4669,1609.34,73.7616,3,30.1413,1
10011354,"Hidden Canyon Trail","Zion National Park",37.27089,-112.93842,4828.02,283.7688,3,30.0717,1
10004146,"Hickman Bridge Trail","Capitol Reef National Park",38.28875,-111.2276,2735.878,129.8448,3,30.0493,0
10028290,"Fiery Furnace and Surprise Arch","Arches National Park",38.74325,-109.56582,2735.878,132.8928,3,29.9949,0
10235992,"General Sherman Tree Trail","Sequoia National Park",36.58498,-118.74978,1287.472,46.9392,1,29.826,0
10041100,"Grand View Point Trail","Canyonlands National Park",38.31073,-109.85654,2896.812,52.7304,1,29.8149,0
10033688,"Hawksbill Gap Loop via Appalachian Trail","Shenandoah National Park",38.55647,-78.38683,4184.284,228.9048,3,29.5117,0
10032574,"Ledges Trail","Cuyahoga Valley National Park",41.22386,-81.51015,4184.284,46.9392,3,29.5094,0
10235907,"Bridalveil Fall Trail","Yosemite National Park",37.71658,-119.65118,804.67,24.9936,1,29.4481,0
10241402,"Landscape Arch Trail","Arches National Park",38.78304,-109.5952,3057.746,78.9432,1,29.3311,0
10274625,"Grand Prismatic Hot Spring","Yellowstone National Park",44.51531,-110.8326,2574.944,60.96,1,29.0437,0
10265905,"South Kaibab Trail to Ooh Aah Point","Grand Canyon National Park",36.05309,-112.08387,2896.812,210.9216,3,28.8685,0
10238728,"Glacier Gorge Trail","Rocky Mountain National Park",40.31081,-105.63979,4506.152,122.8344,1,28.796,0
10015210,"Hoh River Trail","Olympic National Park",47.86009,-123.93447,52786.35,1558.7472,3,28.762,0
10010417,"Cadillac Mountain South Ridge Trail Loop","Acadia National Park",44.31306,-68.21502,12070.05,684.8856,5,28.714,0
10005960,"Surprise and Amphitheater Lakes Trail","Grand Teton National Park",43.73458,-110.74157,14323.126,896.7216,7,28.6713,0
10004933,"Lost Mine Trail","Big Bend National Park",29.2744,-103.28635,6759.228,334.9752,3,28.6477,0
10279767,"Precipice, Orange and Black and Champlain North Ridge Trail Loop","Acadia National Park",44.34971,-68.18794,3379.614,319.7352,5,28.5985,0
10112189,"Windows Loop and Turret Arch Trail","Arches National Park",38.68714,-109.53666,1931.208,51.816,1,28.5314,0
10027546,"Marble Falls Trail","Sequoia National Park",36.51464,-118.80085,11909.116,495.9096,3,28.507,0
10235677,"Cub Lake Trail Loop","Rocky Mountain National Park",40.35552,-105.61602,9656.04,226.7712,3,28.4165,0
10235706,"Mount Ida Trail","Rocky Mountain National Park",40.42021,-105.81138,14805.928,723.9,5,28.4035,0
10009225,"High Divide - Seven Lakes Basin Loop","Olympic National Park",47.95481,-123.83471,30577.46,1617.8784,5,28.3496,0
10008262,"Hidden Falls Trail","Grand Teton National Park",43.75043,-110.72455,7885.766,179.832,1,28.2166,0
10266148,"Grand Canyon Rim Trail","Grand Canyon National Park",36.05723,-112.14378,8690.436,106.9848,1,28.2035,0
10030658,"Adams Falls Trail","Rocky Mountain National Park",40.23941,-105.79999,1126.538,29.8704,1,28.2017,0
10028614,"Upper Geyser Basin and Old Faithful Observation Point Loop","Yellowstone National Park",44.46011,-110.83002,7242.03,73.7616,1,28.1776,0
10002126,"Mount Fremont Lookout Trail","Mount Rainier National Park",46.91435,-121.6423,9012.304,348.996,3,28.1573,0
10035554,"Hidden Valley Nature Trail","Joshua Tree National Park",34.01234,-116.16807,1609.34,34.7472,1,27.9587,0
10028653,"Taft Point and The Fissures","Yosemite National Park",37.71241,-119.58631,3701.482,113.9952,1,27.694,0
10001901,"Rose River Trail","Shenandoah National Park",38.53317,-78.42117,5632.69,256.9464,3,27.5014,0
10005742,"White Oak Canyon Trail","Shenandoah National Park",38.58589,-78.38277,15288.73,733.9584,5,27.492,0
10235826,"Ocean Path Trail: Thunder Hole and Monument Cove","Acadia National Park",44.32985,-68.18432,7242.03,113.9952,1,27.4348,0
10034294,"Cleetwood Cove Trail","Crater Lake National Park",42.97972,-122.08335,3379.614,189.8904,3,27.0323,0
10033156,"Rae Lakes Trail","Kings Canyon National Park",36.79468,-118.58289,66626.68,2390.8513,5,27.001,0
10281016,"Wall Street and Queens Garden Loop Trail","Bryce Canyon National Park",37.63051,-112.16459,4988.954,175.8696,3,26.9909,0
10235835,"Brandywine Gorge Trail","Cuyahoga Valley National Park",41.27688,-81.54021,2735.878,65.8368,3,26.9381,0
10002446,"Stony Man via Appalachian Trail","Shenandoah National Park",38.59318,-78.37599,2414.01,97.8408,1,26.872,0
10031456,"Congress Trail","Sequoia National Park",36.58448,-118.74988,5149.888,151.7904,1,26.8115,0
10011242,"Flattop Mountain Trail","Rocky Mountain National Park",40.31198,-105.64543,13196.588,874.776,5,26.7174,0
10283805,"Hidden Lake Overlook","Glacier National Park",48.69542,-113.71817,4506.152,176.784,3,26.6291,0
10006635,"Phelps Lake Trail","Grand Teton National Park",43.62661,-110.77327,11265.38,220.98,3,26.6183,0
10014854,"South River Falls Trail","Shenandoah National Park",38.38115,-78.51698,7402.964,387.7056,3,26.4525,0
10027158,"Blue Lake Trail","North Cascades National Park",48.51941,-120.67423,8529.502,291.9984,3,26.4301,0
10002863,"Cathedral Lakes Trail","Yosemite National Park",37.87338,-119.38261,13840.324,472.7448,3,26.3724,0
10026575,"Canyon Rim North Trail to Inspiration Point","Yellowstone National Park",44.70805,-110.50114,12713.786,349.9104,3,26.2857,0
10026708,"Sprague Lake Trail","Rocky Mountain National Park",40.32038,-105.60776,1287.472,9.7536,1,26.2324,0
10303153,"Sunset Point to Sunrise Point","Bryce Canyon National Park",37.62341,-112.16738,1770.274,24.9936,1,26.1533,0
10003872,"Lost Palms Oasis","Joshua Tree National Park",33.73685,-115.81058,11587.248,312.7248,3,26.1245,0
10010871,"Vernal and Nevada Falls via the Panorama Trail","Yosemite National Park",37.72731,-119.57471,14484.06,297.7896,5,26.0974,0
10027191,"Ruby Beach","Olympic National Park",47.7097,-124.41341,2253.076,20.7264,1,25.9264,0
10011538,"Little Stony Man Loop via Appalachian Trail","Shenandoah National Park",38.59308,-78.37563,5471.756,263.9568,3,25.8891,0
10010442,"Kilauea Iki Trail and Crater Rim Trail","Hawaii Volcanoes National Park",19.41648,-155.24294,15839.961,688,3,25.6723,0
10033026,"Mossy Cave Turret Arch and Little Windows Trail","Bryce Canyon National Park",37.6658,-112.11033,1609.34,35.9664,1,25.5268,0
10012004,"Cracker Lake Trail","Glacier National Park",48.79495,-113.65599,19312.08,502.92,3,25.3781,0
10035508,"Cascade Falls","Rocky Mountain National Park",40.25664,-105.81443,11909.116,205.74,1,25.238,0
10259229,"Spruce Flats Falls Trail","Great Smoky Mountains National Park",35.64105,-83.68926,2896.812,125.8824,3,25.1986,0
10013977,"Condor Gulch Trail to High Peaks Trail Loop","Pinnacles National Park",36.48145,-121.18174,8690.436,484.9368,5,25.0432,0
10020048,"Harding Ice Field Trail","Kenai Fjords National Park",60.18852,-149.63156,15610.598,1161.8976,5,24.8931,0
10004286,"Staircase Rapids Loop","Olympic National Park",47.51546,-123.33012,3379.614,64.9224,1,24.8557,0
10019827,"Arch Rock Nature Trail","Joshua Tree National Park",33.98414,-116.01655,1126.538,7.9248,1,24.81,0
10235908,"Columbia Rock Trail","Yosemite National Park",37.74208,-119.60195,2092.142,288.9504,3,24.7999,0
10015413,"Cassidy Arch Trail","Capitol Reef National Park",38.26375,-111.21564,4667.086,213.9696,3,24.6497,0
10239649,"Andrews Bald Trail","Great Smoky Mountains National Park",35.5569,-83.49613,5632.69,260.9088,3,24.5038,0
10235471,"Notch Trail","Badlands National Park",43.76031,-101.92808,2092.142,39.9288,3,24.4547,0
10037289,"Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome","Yosemite National Park",37.80649,-119.54523,16737.137,636.7272,3,24.4063,0
10038157,"The Watchman Peak Trail","Crater Lake National Park",42.94581,-122.16896,2574.944,117.9576,3,24.347,0
10263280,"Cascade Pass and Sahale Arm Trail","North Cascades National Park",48.4754,-121.07501,17541.807,1175.9185,5,24.2621,0
10034036,"Fortynine Palms Oasis Trail","Joshua Tree National Park",34.11922,-116.11198,4506.152,188.976,3,24.2376,0
10004781,"John Muir Trail via Yosemite Valley","Yosemite National Park",37.73476,-119.56629,326856.97,14029.944,5,24.0723,0
10094721,"Rim-to-Rim: North Kaibab to Grand Canyon Village","Grand Canyon National Park",36.21692,-112.05678,34761.742,1614.8304,5,24.0229,0
10007726,"Pinnacle Peak Saddle Trail","Mount Rainier National Park",46.76825,-121.73115,3862.416,321.8688,3,23.9494,0
10011441,"South Rim Trail - Boot Springs Trail","Big Bend National Park",29.26998,-103.30112,17702.74,709.8792,5,23.8607,0
10383798,"Queen Victoria via Queen's Garden Loop","Bryce Canyon National Park",37.63051,-112.16459,3379.614,123.7488,1,23.8606,0
10001279,"Summerland Trail","Mount Rainier National Park",46.88801,-121.61005,13196.588,655.9296,3,23.8281,0
10111563,"Hawksbill Summit Trail","Shenandoah National Park",38.55641,-78.3868,2414.01,204.8256,3,23.7929,0
10031887,"Lost Horse Mine Loop Trail","Joshua Tree National Park",33.95082,-116.15985,11104.446,277.9776,3,23.7689,0
10019163,"Spruce Railroad Trail: Lake Crescent","Olympic National Park",48.09334,-123.80247,18024.607,131.9784,1,23.7505,0
10015818,"Grove of the Patriarchs Nature Trail","Mount Rainier National Park",46.7573,-121.55769,1931.208,13.716,1,23.7213,0
10111932,"Porters Creek Trail","Great Smoky Mountains National Park",35.69662,-83.38846,11265.38,460.8576,3,23.711,0
10000879,"Mount Scott Trail","Crater Lake National Park",42.92905,-122.03015,6759.228,383.7432,3,23.6165,0
10111552,"Hallett Peak","Rocky Mountain National Park",40.31212,-105.64634,14805.928,991.8192,5,23.5712,0
10026407,"Mount Cammerer via Low Gap Trail","Great Smoky Mountains National Park",35.75637,-83.20788,19151.146,965.9112,5,23.5591,0
10002035,"Sliding Sands Trail","Haleakala National Park",20.71473,-156.25053,58079.855,2795,7,23.5557,0
10014634,"Silver Falls Trail","Mount Rainier National Park",46.73646,-121.56605,6437.36,214.884,1,23.5358,0
10012390,"Mariposa Grove of Giant Sequoias Trail","Yosemite National Park",37.50221,-119.61064,9012.304,367.8936,3,23.5256,0
10030937,"Marys Rock via Appalachian Trail (North Approach)","Shenandoah National Park",38.65928,-78.3217,5471.756,368.808,3,23.5151,0
10015179,"Lake Solitude Trail","Grand Teton National Park",43.78486,-110.72747,25749.44,803.7576,5,23.4484,0
10235922,"Chilnualna Falls Trail","Yosemite National Park",37.54839,-119.634,12713.786,666.9024,3,23.3042,0
10026574,"West Thumb Geyser Basin Trail","Yellowstone National Park",44.41557,-110.57378,1609.34,17.9832,1,23.2571,0
10003209,"Timberline Falls and Sky Pond Trail","Rocky Mountain National Park",40.31192,-105.64562,14966.862,658.9776,5,23.2203,0
10008493,"Balanced Rock Loop Trail","Arches National Park",38.70169,-109.56593,482.802,13.716,1,23.2085,0
10006688,"Badwater Basin Salt Flats Trail","Death Valley National Park",36.23035,-116.7668,2896.812,2.7432,1,23.0844,0
10040224,"Zion National Park Scenic Drive","Zion National Park",37.21787,-112.97421,20277.684,292.9128,1,23.0755,0
10026405,"Deep Creek Loop Trail","Great Smoky Mountains National Park",35.46438,-83.43412,7885.766,272.796,1,23.0524,0
10035418,"Chesler Park Loop Trail","Canyonlands National Park",38.14161,-109.82733,18668.344,589.788,3,23.0467,0
10263769,"Trail of the Cedars","Glacier National Park",48.68007,-113.8192,1287.472,10.9728,1,23.0408,0
10012621,"Great Head Trail (Short Option)","Acadia National Park",44.33001,-68.18399,2574.944,91.7448,3,23.0276,0
10258643,"String Lake Trail","Grand Teton National Park",43.78854,-110.73063,5954.558,79.8576,1,22.944,0
10009732,"The Window Trail","Big Bend National Park",29.27021,-103.30106,8368.568,288.9504,3,22.8387,0
10037044,"Odessa Lake Via Fern Lake Trail","Rocky Mountain National Park",40.31176,-105.64456,13357.522,610.8192,3,22.8281,0
10014537,"Riprap Trail","Shenandoah National Park",38.17789,-78.76506,15127.796,629.7168,5,22.8094,0
10293225,"Sentinel Dome and Taft Point Loop","Yosemite National Park",37.71247,-119.58638,8207.634,341.9856,3,22.7858,0
10034934,"Park Avenue Trail","Arches National Park",38.62458,-109.5997,2896.812,90.8304,1,22.7364,0
10011288,"Enchanted Valley Chalet via East Fork Quinault River Trail","Olympic National Park",47.57271,-123.57014,49245.805,1414.8816,5,22.7312,0
10026816,"Shoshone Point Trail","Grand Canyon National Park",36.03496,-112.06924,3379.614,45.72,1,22.7206,0
10028402,"High Dune Trail","Great Sand Dunes National Park and Preserve",37.73995,-105.51672,4828.02,191.7192,5,22.6281,0
10012998,"Little Devils Stairs Trail","Shenandoah National Park",38.73032,-78.25801,8529.502,455.9808,3,22.6209,0
10002325,"Narada Falls Trail","Mount Rainier National Park",46.78554,-121.7334,3862.416,262.7376,3,22.5941,0
10235665,"Plateau Point Trail via Bright Angel Trail","Grand Canyon National Park",36.05681,-112.14201,19633.947,961.9488,5,22.5006,0
10040734,"Gatlinburg Trail","Great Smoky Mountains National Park",35.68562,-83.53732,6115.492,49.9872,1,22.4946,0
10031102,"Sand Dune Arch Trail","Arches National Park",38.76475,-109.58348,482.802,32.9184,1,22.4857,0
10007994,"Wolfe Ranch and Petroglyph Trail","Arches National Park",38.7356,-109.52062,804.67,4.8768,1,22.3872,0
10003094,"Middle Fork Taylor Creek Trail","Zion National Park",37.4618,-113.19952,7885.766,217.932,3,22.3807,0
10266521,"South Kaibab Trail to Skeleton Point","Grand Canyon National Park",36.05356,-112.08336,8690.436,602.8944,5,22.1688,0
10262194,"False Kiva Trail","Canyonlands National Park",38.42317,-109.90864,3057.746,136.8552,3,22.0767,0
10298575,"Nevada Falls","Yosemite National Park",37.73251,-119.55906,8690.436,669.9504,5,22.0603,0
10017330,"Bench and Snow Lakes Trail","Mount Rainier National Park",46.76777,-121.70782,4345.218,151.7904,3,22.0517,0
10235697,"Nymph Lake Trail","Rocky Mountain National Park",40.31192,-105.646,1931.208,79.8576,1,21.9963,0
10004769,"Nisqually Vista Trail","Mount Rainier National Park",46.78527,-121.74152,1448.406,49.9872,1,21.9497,0
10274952,"Tall Trees Grove Loop Trail","Redwood National Park",41.20785,-123.99318,5310.822,227.9904,3,21.9301,0
10266145,"Double O Arch Trail","Arches National Park",38.78301,-109.59513,6276.426,197.8152,3,21.8918,0
10007106,"Emory Peak Trail","Big Bend National Park",29.27022,-103.301,13679.39,731.8248,5,21.7947,0
10011510,"Ozette Triangle Trail","Olympic National Park",48.15352,-124.66998,13840.324,155.7528,3,21.7937,0
10023775,"Skull Rock Nature Trail","Joshua Tree National Park",33.99797,-116.05998,2735.878,48.768,1,21.7608,0
10261645,"Mammoth Hot Springs Area Trail","Yellowstone National Park",44.974,-110.70419,5632.69,170.9928,1,21.7384,0
10242019,"Madison Falls Trail","Olympic National Park",48.04083,-123.58995,482.802,12.8016,1,21.7111,0
10041193,"Copeland Falls to Calypso Cascades","Rocky Mountain National Park",40.20774,-105.5665,5632.69,184.7088,1,21.6951,0
10016127,"Grand Canyon West Rim Trail","Grand Canyon National Park",36.05264,-112.08368,20599.553,169.7736,1,21.652,0
10035195,"Stanford House to Brandywine Falls Trail","Cuyahoga Valley National Park",41.27104,-81.5567,6115.492,162.7632,3,21.6423,0
10235759,"Pa'rus Trail","Zion National Park",37.20127,-112.98836,5310.822,44.8056,1,21.6195,0
10015561,"Santa Elena Canyon Trail","Big Bend National Park",29.16735,-103.6105,2414.01,185.928,1,21.6142,0
10294237,"Myrtle Falls Viewpoint via Skyline Trail","Mount Rainier National Park",46.7866,-121.73549,1448.406,45.72,1,21.5899,0
10014345,"Clouds Rest Trail from Yosemite Valley","Yosemite National Park",37.73467,-119.56635,28968.12,1920.8496,5,21.5626,0
10012354,"Laurel Falls and Cove Mountain","Great Smoky Mountains National Park",35.6719,-83.58056,12391.918,571.8048,3,21.5393,0
